,date,state,abbrev,population,positive,active,probableCases,totalTestResultsSource,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
37,2020-10-19,Oregon,OR,4301089,39794.0,33296.0,2013.0,posNeg,168.0,2947.0,50.0,11.0,5870.0,A+,10/19/2020 03:01,2020-10-19T03:01:00Z,10/18 23:01,628.0,2947.0,,,748715.0,37781.0,,,,786496.0,,,,,,,,,,,0,0,0,0,0,,1.6,6881.7424
38,2020-10-19,Pennsylvania,PA,12820878,183315.0,28163.0,7261.0,posNeg,870.0,,,89.0,146652.0,A+,10/19/2020 12:00,2020-10-19T12:00:00Z,10/19 08:00,8500.0,,3616192.0,,,176054.0,,,,2320020.0,,,,,,,,,,,0,0,0,0,0,,2.9,37180.5462
39,2020-10-19,Rhode Island,RI,1056161,28347.0,24642.0,,totalTestEncountersViral,124.0,3050.0,16.0,4.0,2546.0,A+,10/19/2020 12:00,2020-10-19T12:00:00Z,10/19 08:00,1159.0,3050.0,,38619.0,939292.0,28347.0,,,977911.0,399326.0,,,,,,,,,,,0,0,0,0,0,,2.1,2217.9381000000003
40,2020-10-19,South Carolina,SC,5210095,164609.0,78311.0,6639.0,posNeg,697.0,9959.0,182.0,92.0,82637.0,A+,10/18/2020 23:59,2020-10-18T23:59:00Z,10/18 19:59,3661.0,9959.0,1603561.0,206473.0,1397088.0,157970.0,3449.0,212.0,,,76822.0,8160.0,68662.0,,,,,,83607.0,13882.0,0,0,0,0,0,,2.4,12504.228000000001
41,2020-10-19,South Dakota,SD,903027,33836.0,8388.0,932.0,totalTestsPeopleViral,304.0,2146.0,,,25125.0,A,10/18/2020 14:00,2020-10-18T14:00:00Z,10/18 10:00,323.0,2146.0,367540.0,,,32904.0,,,,232450.0,,,,,,,,,,,0,0,0,0,0,,4.8,4334.5296
42,2020-10-19,Tennessee,TN,6897576,232061.0,23307.0,11495.0,posNeg,1338.0,9618.0,390.0,177.0,205832.0,A+,10/19/2020 15:00,2020-10-19T15:00:00Z,10/19 11:00,2922.0,9618.0,3371897.0,267234.0,3104663.0,220566.0,2789.0,133.0,,,,,,,,,,,,,0,0,0,0,0,,2.9,20002.9704
43,2020-10-19,Texas,TX,29472295,825673.0,78889.0,,posNeg,4319.0,,1349.0,,729762.0,A,10/19/2020 17:15,2020-10-19T17:15:00Z,10/19 13:15,17022.0,,7384043.0,,,825673.0,,,,,452388.0,42646.0,,,,,,,242427.0,20886.0,0,0,0,0,0,,2.3,67786.27849999999
44,2020-10-19,Utah,UT,3282115,95562.0,23981.0,,posNeg,304.0,4688.0,103.0,,71035.0,A+,10/19/2020 10:30,2020-10-19T10:30:00Z,10/19 06:30,546.0,4688.0,1310604.0,,,95562.0,,,,980659.0,,,,,,,29106.0,3288.0,60235.0,3451.0,0,0,0,0,0,,1.8,5907.807
45,2020-10-19,Virginia,VA,8626207,166828.0,144275.0,10389.0,totalTestEncountersViral,972.0,20068.0,210.0,81.0,19096.0,A+,10/18/2020 17:00,2020-10-18T17:00:00Z,10/18 13:00,3457.0,20068.0,,186494.0,,156439.0,3209.0,248.0,2398111.0,,,,,,,,,,,,0,0,0,0,0,,2.1,18115.0347
46,2020-10-19,Vermont,VT,628061,1946.0,192.0,,posNeg,0.0,,,,1696.0,B,10/18/2020 23:59,2020-10-18T23:59:00Z,10/18 19:59,58.0,,,,,1946.0,58.0,,,179597.0,,,,,,,,,,,0,0,0,0,0,,2.1,1318.9281
47,2020-10-19,Washington,WA,7797095,98201.0,95962.0,,totalTestEncountersViral,292.0,8018.0,,26.0,0.0,B,10/18/2020 02:59,2020-10-18T02:59:00Z,10/17 22:59,2239.0,8018.0,,,,98201.0,2239.0,,2230785.0,,,,,,,,,,,,0,0,0,0,0,,1.7,13255.0615
